County,Population
Miami-Dade County,"2,761,581"
Broward County,"1,951,260"
Palm Beach County,"1,485,941"
Hillsborough County,"1,436,888"
Orange County,"1,380,645"
Pinellas County,"975,280"
Duval County,"950,181"
Lee County,"754,610"
Polk County,"708,009"
Brevard County,"596,849"
Volusia County,"547,538"
Pasco County,"539,630"
Seminole County,"467,832"
Sarasota County,"426,718"
Manatee County,"394,855"
Collier County,"378,488"
Osceola County,"367,990"
Marion County,"359,977"
Lake County,"356,495"
St. Lucie County,"321,128"
Escambia County,"315,534"
Leon County,"292,502"
Alachua County,"269,956"
St. Johns County,"254,261"
Clay County,"216,072"
Okaloosa County,"207,269"
Hernando County,"190,865"
Bay County,"185,287"
Charlotte County,"184,998"
Santa Rosa County,"179,349"
Martin County,"160,912"
Indian River County,"157,413"
Citrus County,"147,929"
Sumter County,"128,754"
Flagler County,"112,067"
Highlands County,"105,424"
Nassau County,"85,832"
Monroe County,"75,027"
Putnam County,"74,163"
Walton County,"71,375"
Columbia County,"70,503"
Jackson County,"48,305"
Gadsden County,"45,894"
Suwannee County,"44,191"
Hendry County,"41,556"
Okeechobee County,"41,537"
Levy County,"40,770"
DeSoto County,"37,489"
Wakulla County,"32,461"
Baker County,"28,355"
Bradford County,"27,732"
Hardee County,"27,245"
Washington County,"24,880"
Taylor County,"21,623"
Holmes County,"19,477"
Madison County,"18,529"
Gilchrist County,"18,256"
Dixie County,"16,700"
Gulf County,"16,164"
Union County,"14,940"
Calhoun County,"14,587"
Hamilton County,"14,310"
Jefferson County,"14,288"
Glades County,"13,724"
Franklin County,"11,736"
Lafayette County,"8,732"
Liberty County,"8,457"
