Calendar Date,Date,Population_MI,Population_US,Rank,Highlights
01/01/1990 12:00:00 PM,1990,9311319,249622814,,
01/01/1991 12:00:00 PM,1991,9400446,252980941,,
01/01/1992 12:00:00 PM,1992,9479065,256514224,,
01/01/1993 12:00:00 PM,1993,9540114,259918588,,
01/01/1994 12:00:00 PM,1994,9597737,263125821,,
01/01/1995 12:00:00 PM,1995,9676211,266278393,,
01/01/1996 12:00:00 PM,1996,9758645,269394284,,
01/01/1997 12:00:00 PM,1997,9809051,272646925,,
01/01/1998 12:00:00 PM,1998,9847942,275854104,,
01/01/1999 12:00:00 PM,1999,9897116,279040168,,
01/01/2000 12:00:00 PM,2000,9952450,282162411,,
01/01/2001 12:00:00 PM,2001,9991120,284968955,,
01/01/2002 12:00:00 PM,2002,10015710,287625193,,
01/01/2003 12:00:00 PM,2003,10041152,290107933,,
01/01/2004 12:00:00 PM,2004,10055315,292805298,,
01/01/2005 12:00:00 PM,2005,10051137,295516599,,
01/01/2006 12:00:00 PM,2006,10036081,298379912,,
01/01/2007 12:00:00 PM,2007,10001284,301231207,,
01/01/2008 12:00:00 PM,2008,9946889,304093966,,
01/01/2009 12:00:00 PM,2009,9901591,306771529,,
01/01/2010 12:00:00 PM,2010,9877535,309326085,,
01/01/2011 12:00:00 PM,2011,9881521,311580009,,
01/01/2012 12:00:00 PM,2012,9896930,313874218,,
01/01/2013 12:00:00 PM,2013,9913349,316057727,,
01/01/2014 12:00:00 PM,2014,9930589,318386421,,
01/01/2015 12:00:00 PM,2015,9932573,320742673,10,
01/01/2016 12:00:00 PM,2016,9951890,323071342,10,
01/01/2017 12:00:00 PM,2017,9976447,325147121,10,Michigan's population grew in 2017 to 9.962 million.  Michigan's overall population ranked 10th nationally in 2017.
01/01/2018 12:00:00 PM,2018,9995915,327167434,10,Michigan's population grew in 2018 to 9.995 million.  Michigan's overall population ranked 10th nationally in 2018.
